method=CN;method=CN;method=CN;method=CN;;;
t_out=3.000000;t_out=3.000000;t_out=3.000000;t_out=3.000000;dt;V_m_max_diff;Slope 2
time_step=0.100000;time_step=0.050000;time_step=0.025000;time_step=0.010000;0.2;;0.01
-57.741625;-61.61795;-65.595561;-73.120837;;;
-59.872581;-63.321802;-66.824031;-73.417689;;;
-61.74984;-64.819304;-67.90144;-73.677426;;;
-63.403178;-66.134637;-68.845978;-73.904674;;;
-64.858944;-67.289386;-69.673747;-74.103485;;;
-66.140453;-68.302746;-70.398981;-74.27741;;;
-67.268349;-69.191733;-71.034232;-74.429559;;;
-68.260855;-69.971397;-71.590559;-74.562652;;;
-69.134077;-70.655026;-72.077687;-74.679074;;;
-69.90225;-71.254334;-72.504167;-74.78091;;;
-70.577916;-71.779635;-72.877504;-74.869987;;;
-71.172145;-72.240004;-73.20429;-74.947901;;;
-71.694689;-72.64342;-73.490302;-75.016051;;;
-72.154175;-72.996895;-73.740611;-75.075658;;;
-72.558161;-73.306581;-73.959659;-75.127793;;;
-72.913337;-73.577884;-74.151338;-75.173392;;;
-73.225587;-73.815545;-74.319063;-75.213274;;;
-73.500053;-74.023724;-74.465815;-75.248155;;;
-73.74132;-74.206065;-74.594219;-75.278663;;;
-73.953386;-74.365772;-74.706559;-75.305345;;;
-74.13977;-74.505648;-74.804845;-75.328681;;;
-74.303586;-74.628149;-74.890828;-75.34909;;;
-74.447568;-74.735428;-74.966053;-75.36694;;;
-74.574107;-74.829377;-75.031854;-75.382551;;;
-74.685307;-74.911652;-75.089421;-75.396204;;;
-74.783032;-74.983694;-75.139776;-75.408144;;;
-74.868901;-75.046778;-75.183826;-75.418587;;;
-74.944355;-75.102018;-75.222354;-75.42772;;;
-75.010662;-75.150387;-75.256058;-75.435707;;;
-75.06893;-75.192737;-75.285534;-75.442692;;;
-75.120124;-75.229815;-75.311318;-75.448801;;;
-75.16511;-75.262282;-75.33387;-75.454144;;;
-75.204632;-75.290707;-75.353594;-75.458816;;;
-75.239354;-75.315591;-75.370842;-75.462902;;;
-75.269862;-75.33738;-75.385929;-75.466476;;;
-75.296662;-75.356456;-75.399124;-75.469601;;;
-75.320215;-75.373152;-75.410664;-75.472334;;;
-75.340907;-75.387763;-75.420756;-75.474724;;;
-75.359085;-75.400558;-75.429582;-75.476814;;;
-75.375054;-75.411761;-75.437299;-75.478641;;;
-75.389074;-75.421566;-75.444048;-75.48024;;;
-75.401391;-75.430143;-75.449949;-75.481637;;;
-75.412206;-75.437652;-75.455108;-75.48286;;;
-75.421713;-75.44423;-75.459619;-75.483929;;;
-75.430068;-75.449983;-75.463564;-75.484863;;;
-75.4374;-75.455011;-75.467012;-75.48568;;;
-75.443846;-75.459417;-75.470026;-75.486395;;;
-75.449501;-75.463273;-75.472661;-75.48702;;;
-75.454466;-75.466648;-75.474965;-75.487566;;;
-75.458826;-75.469601;-75.476978;-75.488044;;;
-75.462652;-75.472185;-75.478737;-75.488461;;;
-75.466016;-75.474446;-75.480275;-75.488826;;;
-75.468969;-75.476424;-75.481619;-75.489146;;;
-75.471561;-75.478155;-75.482792;-75.489424;;;
-75.473838;-75.479668;-75.483818;-75.489668;;;
-75.475836;-75.480992;-75.484714;-75.489881;;;
-75.477589;-75.48215;-75.485496;-75.490068;;;
-75.479127;-75.483162;-75.48618;-75.49023;;;
-75.480477;-75.484046;-75.486776;-75.490372;;;
-75.48166;-75.484819;-75.487296;-75.490497;;;
-75.482697;-75.485494;-75.48775;-75.490605;;;
-75.483605;-75.486083;-75.488146;-75.490699;;;
-75.4844;-75.486597;-75.488491;-75.490782;;;
-75.485096;-75.487045;-75.488791;-75.490854;;;
-75.485704;-75.487435;-75.489053;-75.490916;;;
-75.486234;-75.487775;-75.489279;-75.49097;;;
-75.486695;-75.488069;-75.489476;-75.491017;;;
-75.487096;-75.488324;-75.489646;-75.491058;;;
-75.487443;-75.488544;-75.489793;-75.491093;;;
-75.487743;-75.488733;-75.489919;-75.491124;;;
-75.487999;-75.488895;-75.490026;-75.49115;;;
-75.488217;-75.489032;-75.490117;-75.491171;;;
-75.4884;-75.489147;-75.490193;-75.49119;;;
-75.488552;-75.489242;-75.490256;-75.491205;;;
-75.488674;-75.489318;-75.490307;-75.491217;;;
-75.48877;-75.489378;-75.490347;-75.491227;;;
-75.48884;-75.489422;-75.490376;-75.491234;;;
-75.488886;-75.489451;-75.490395;-75.491238;;;
-75.488909;-75.489465;-75.490404;-75.491241;;;
-75.488909;-75.489465;-75.490404;-75.491241;;;
