-75.151,-75.151,-75.15,-75.149,-75.137,-75.049,-74.493,-71.665,-60.784,-71.665,-74.493,-75.049,-75.137,-75.149,-75.15,-75.151,-75.151
-75.154,-75.154,-75.154,-75.152,-75.139,-75.044,-74.454,-71.528,-60.495,-71.528,-74.454,-75.044,-75.139,-75.152,-75.154,-75.154,-75.154
-75.158,-75.158,-75.157,-75.156,-75.141,-75.038,-74.415,-71.391,-60.207,-71.391,-74.415,-75.038,-75.141,-75.156,-75.157,-75.158,-75.158
-75.161,-75.161,-75.161,-75.159,-75.143,-75.031,-74.374,-71.253,-59.919,-71.253,-74.374,-75.031,-75.143,-75.159,-75.161,-75.161,-75.161
-75.164,-75.164,-75.164,-75.162,-75.144,-75.024,-74.333,-71.115,-59.632,-71.115,-74.333,-75.024,-75.144,-75.162,-75.164,-75.164,-75.164
-75.168,-75.168,-75.167,-75.165,-75.146,-75.017,-74.29,-70.976,-59.344,-70.976,-74.29,-75.017,-75.146,-75.165,-75.167,-75.168,-75.168
-75.171,-75.171,-75.171,-75.168,-75.147,-75.009,-74.247,-70.836,-59.055,-70.836,-74.247,-75.009,-75.147,-75.168,-75.171,-75.171,-75.171
-75.174,-75.174,-75.174,-75.171,-75.148,-75,-74.202,-70.696,-58.765,-70.696,-74.202,-75,-75.148,-75.171,-75.174,-75.174,-75.174
-75.178,-75.178,-75.177,-75.174,-75.149,-74.991,-74.157,-70.554,-58.473,-70.554,-74.157,-74.991,-75.149,-75.174,-75.177,-75.178,-75.178
-75.181,-75.181,-75.18,-75.176,-75.149,-74.982,-74.11,-70.413,-58.178,-70.413,-74.11,-74.982,-75.149,-75.176,-75.18,-75.181,-75.181
-75.184,-75.184,-75.183,-75.179,-75.15,-74.972,-74.063,-70.27,-57.881,-70.27,-74.063,-74.972,-75.15,-75.179,-75.183,-75.184,-75.184
-75.187,-75.187,-75.187,-75.182,-75.15,-74.961,-74.014,-70.126,-57.579,-70.126,-74.014,-74.961,-75.15,-75.182,-75.187,-75.187,-75.187
-75.19,-75.19,-75.19,-75.184,-75.15,-74.95,-73.965,-69.981,-57.274,-69.981,-73.965,-74.95,-75.15,-75.184,-75.19,-75.19,-75.19
-75.193,-75.193,-75.193,-75.187,-75.15,-74.939,-73.915,-69.836,-56.963,-69.836,-73.915,-74.939,-75.15,-75.187,-75.193,-75.193,-75.193
-75.196,-75.196,-75.196,-75.189,-75.15,-74.927,-73.864,-69.689,-56.648,-69.689,-73.864,-74.927,-75.15,-75.189,-75.196,-75.196,-75.196
-75.199,-75.199,-75.198,-75.192,-75.149,-74.914,-73.812,-69.54,-56.326,-69.54,-73.812,-74.914,-75.149,-75.192,-75.198,-75.199,-75.199
-75.202,-75.202,-75.201,-75.194,-75.149,-74.902,-73.759,-69.39,-55.998,-69.39,-73.759,-74.902,-75.149,-75.194,-75.201,-75.202,-75.202
-75.205,-75.205,-75.204,-75.196,-75.148,-74.888,-73.706,-69.239,-55.662,-69.239,-73.706,-74.888,-75.148,-75.196,-75.204,-75.205,-75.205
-75.208,-75.208,-75.207,-75.199,-75.147,-74.874,-73.651,-69.1,-56.041,-69.1,-73.651,-74.874,-75.147,-75.199,-75.207,-75.208,-75.208
-75.211,-75.211,-75.21,-75.201,-75.146,-74.86,-73.597,-68.971,-56.377,-68.971,-73.597,-74.86,-75.146,-75.201,-75.21,-75.211,-75.211
